Date,PM2.5_Peenya,NO2_Peenya,NH3_Peenya,SO2_Peenya,CO_Peenya,Temp_Peenya,RH_Peenya,AQI_Peenya,AQI_Category_Peenya,PM2.5_SilkBoard,NO2_SilkBoard,NH3_SilkBoard,SO2_SilkBoard,CO_SilkBoard,Temp_SilkBoard,RH_SilkBoard,AQI_SilkBoard,AQI_Category_SilkBoard,PM2.5_Hombegowda,NO2_Hombegowda,NH3_Hombegowda,SO2_Hombegowda,CO_Hombegowda,Temp_Hombegowda,RH_Hombegowda,AQI_Hombegowda,AQI_Category_Hombegowda,PM2.5_BapujiNagar,NO2_BapujiNagar,NH3_BapujiNagar,SO2_BapujiNagar,CO_BapujiNagar,Temp_ BapujiNagar_BapujiNagar,RH_BapujiNagar,AQI_BapujiNagar,AQI_Category_BapujiNagar
2025-03-01,39.21146,18.556055,11.27149,7.021576,0.85,23.8,30.053558,99.03431,Satisfactory,28.6057,23.910467,12.077135,10.208464,0.3,26.2,43.9586,103.0,Moderate,31.5306,50.09703,7.9841576,7.4460816,0.38,25.4,41.273296,88.0,Satisfactory,34.808315,9.6,7.0,9.43701,0.39,24.855562,52.25996,97.0,Satisfactory
2025-03-02,35.34193,14.649915,10.6,7.2,0.82,25.010649,18.3,100.0,Satisfactory,30.359175,29.15488,7.59213,11.614894,0.42361447,25.0113,38.50111,124.0,Moderate,44.271603,36.46706,13.1,7.0525203,0.38,25.545145,55.65391,114.0,Moderate,49.898888,8.8,6.8,8.8,0.44,27.391975,43.291138,110.0,Moderate
2025-03-03,36.389664,12.4,7.1745014,6.348932,0.97,25.151537,23.549536,140.02649,Moderate,41.64807,34.274597,5.5,10.6075115,0.47952652,25.084854,44.426342,152.0,Moderate,46.379684,38.391594,12.7112465,6.02,0.33,26.528955,56.839783,127.0,Moderate,53.63297,6.9374676,7.2974267,9.890034,0.36,26.098063,43.42146,104.0,Moderate
2025-03-04,41.181023,13.8,10.3,8.237306,1.03,23.8,25.394194,112.0,Moderate,43.376198,30.389236,8.159365,8.142998,0.69,22.7,49.36633,128.24513,Moderate,56.384533,52.091663,5.221643,7.9467096,0.43,25.741436,61.01188,129.8141,Moderate,51.322876,9.587029,8.20323,8.830326,0.3905447,25.2,53.02472,122.0,Moderate
2025-03-05,39.102524,19.66033,13.626423,8.3052845,1.11,23.3,20.315063,96.0,Satisfactory,43.474876,26.84639,3.103156,9.703659,0.8,22.762383,49.352318,126.90946,Moderate,45.439495,54.781185,6.667993,7.7357945,0.42,25.526987,55.748665,123.0,Moderate,47.029846,12.092144,8.204414,9.374374,0.42,24.7,62.92917,115.0,Moderate
2025-03-06,33.007,20.070797,14.862507,8.793337,1.12,23.745722,18.3,110.0,Moderate,43.09265,30.132423,7.552328,9.704448,0.65,24.1,47.0,115.0,Moderate,34.820213,52.564304,6.0902934,10.4,0.39,26.463154,51.00315,122.0,Moderate,38.531326,9.0,7.204589,8.8156595,0.42,24.5,45.867733,120.0,Moderate
2025-03-07,41.193195,16.724518,4.8651576,11.660172,0.97,23.3,18.3,115.30518,Moderate,37.945953,30.519789,2.9,9.3,0.61,24.3,49.0,125.0,Moderate,38.502804,33.41482,5.6858435,8.264249,0.37,25.439909,58.35964,135.0,Moderate,27.700243,5.66756,10.413914,9.513008,0.38,24.987051,41.427364,115.0,Moderate
2025-03-08,42.703693,15.997099,5.31864,7.6,1.16,23.410883,31.66653,100.93492,Moderate,31.33455,30.143627,2.9941525,9.9,0.49,24.366842,55.009438,111.0,Moderate,37.90115,36.290417,5.442722,10.537886,0.37,25.64,52.827194,105.0,Moderate,30.2073,5.63194,7.5,8.917203,0.34608662,24.600897,49.3612,107.0,Moderate
2025-03-09,36.23,14.413631,10.152862,11.458204,1.03,23.8,35.48079,91.0,Satisfactory,25.826857,22.69795,2.5,10.496071,0.46,22.8,49.05693,114.0,Moderate,39.997242,41.185795,4.9,7.6920176,0.3917639,25.49,54.37717,83.0,Satisfactory,41.292953,9.5,8.596945,6.617275,0.46,27.026083,64.97175,66.0,Satisfactory
2025-03-10,32.465446,14.385926,11.302024,10.972005,1.1,23.4,20.904562,91.0,Satisfactory,38.6745,20.0,2.9025033,9.9,0.59,22.23938,48.0,112.0,Moderate,37.182934,46.24214,9.21855,7.9936004,0.29,26.499605,51.123505,104.11143,Moderate,39.69588,6.7366385,9.956558,7.094651,0.4,26.3,44.060993,91.014725,Satisfactory
2025-03-11,29.614725,18.1,10.532797,10.875678,1.009169,23.628489,18.879295,103.0,Moderate,38.37507,23.546295,3.0288568,9.234875,0.66,22.4,48.0,124.0,Moderate,38.9794,54.918953,10.811906,11.2,0.36,26.59,54.72471,123.0,Moderate,52.96636,5.5,9.284674,10.440312,0.4678985,24.3,51.834797,120.0,Moderate
2025-03-12,37.237316,20.694576,10.6,10.889649,1.01,23.7,24.247246,85.0,Satisfactory,50.45404,27.012154,3.1,10.2,0.99862856,22.493889,41.0,133.0,Moderate,48.0,55.26822,9.910789,10.314466,0.43,26.58,47.60211,111.0,Moderate,44.46802,9.303465,8.4,7.2555885,0.58,26.102123,49.00917,108.0,Moderate
2025-03-13,37.304314,20.706432,8.33487,6.2721744,0.92,23.9,19.796282,92.0,Satisfactory,41.47128,25.839956,2.5,10.329279,0.75,22.7,39.651016,135.0,Moderate,52.661514,55.895176,10.03372,11.4,0.44,27.13,47.083527,107.44909,Moderate,43.13363,6.8888693,10.018016,8.833141,0.56,27.034416,42.90593,112.0,Moderate
2025-03-14,44.523457,17.995098,10.6,4.300953,0.97,23.963316,18.3,98.0,Satisfactory,39.311165,35.065044,2.2,11.98073,0.66,22.1,37.728203,142.21004,Moderate,56.616596,63.480927,10.656843,7.389146,0.55,26.84,51.406956,107.0,Moderate,42.217487,5.5533075,8.929444,5.756246,0.43,26.573164,40.581608,105.0,Moderate
2025-03-15,55.265415,23.510244,15.3,5.8115067,1.0543393,24.363094,17.898748,94.0,Satisfactory,28.894968,33.67138,6.684371,9.4,0.5601037,23.518112,32.056328,143.0,Moderate,51.669384,63.7278,13.264829,8.410857,0.46,27.016655,49.927246,86.0,Satisfactory,40.664562,9.397141,7.971423,8.106332,0.39,23.298475,37.771492,107.0,Moderate
2025-03-16,41.3569,18.063839,10.3,5.0920277,0.94,23.8,18.3,95.0,Satisfactory,29.263891,49.01029,3.1746485,10.3,0.53,25.012924,31.028145,129.0,Moderate,39.699398,64.03156,14.087698,10.768346,0.41,27.34468,52.697918,55.0,Satisfactory,46.004307,16.922415,10.146149,8.5,0.38000655,24.188055,38.402046,107.0,Moderate
2025-03-17,46.31958,17.85208,6.6491814,6.496377,0.86,24.21465,18.3,98.34102,Satisfactory,44.873676,28.446827,3.521264,12.037121,0.65926015,23.36114,33.247925,135.0,Moderate,36.624832,83.583015,12.984224,10.776693,0.37,27.64,49.470097,100.04022,Moderate,61.22165,18.463467,8.378803,10.0,0.57,23.2,42.89125,123.363144,Moderate
2025-03-18,51.134666,17.089266,8.621139,6.9,0.89,23.5,21.581785,137.03168,Moderate,41.94667,27.566023,5.401707,10.6,0.49,20.3,38.50591,126.0,Moderate,44.43867,53.790695,10.392751,10.491105,0.35,26.92,46.612217,130.68178,Moderate,63.855312,11.202864,2.2,8.3,0.44,23.4,43.29533,124.664345,Moderate
2025-03-19,49.70485,15.6,7.950845,8.192839,1.16,23.5,33.590515,106.0,Moderate,38.927155,29.165495,3.6917667,12.775252,0.5,22.407112,36.827606,125.48681,Moderate,50.61255,54.732777,9.294791,7.6,0.38,26.52,53.529236,131.51215,Moderate,54.220787,18.386507,7.3,8.092218,0.34,23.02244,43.3805,109.0,Moderate
2025-03-20,39.274353,18.589397,5.3,6.559769,1.11,23.9,32.775032,79.0,Satisfactory,36.301575,44.807518,3.1842432,14.853527,0.68,23.2,42.54095,131.0,Moderate,31.47927,53.35717,12.197875,9.881902,0.48673394,26.043097,54.97817,94.0,Satisfactory,44.898693,11.79119,8.046022,8.67294,0.58,22.501968,55.665157,83.0,Satisfactory
2025-03-21,35.419025,14.783783,10.6,6.7016673,1.1400359,24.107012,27.6151,83.0,Satisfactory,29.597456,40.31894,2.240258,18.016094,0.64,21.7,36.75765,110.14972,Moderate,32.423897,55.127834,12.683595,7.7249928,0.46,26.97,55.53418,95.0,Satisfactory,40.215218,6.197889,8.238211,9.269464,0.42,23.545752,60.934624,88.0,Satisfactory
2025-03-22,34.637638,14.467364,11.80967,6.4709425,0.88,23.618519,27.077518,84.0,Satisfactory,36.252426,44.718487,2.1,12.352943,0.71,21.405922,42.722927,118.0,Moderate,33.796806,65.103195,9.064973,7.762101,0.36,25.739761,48.885723,82.0,Satisfactory,42.239704,9.042285,7.5,8.8,0.47,24.165794,57.008797,100.0,Satisfactory
2025-03-23,41.382393,13.995511,5.7735343,6.9066234,1.1236739,23.4,40.09325,70.0,Satisfactory,21.300613,38.127117,2.1,15.05372,0.64,18.800007,39.621666,122.457695,Moderate,30.455652,77.295,12.329009,6.969894,0.39,26.21779,43.87989,103.0,Moderate,42.04132,15.96416,7.807358,8.696217,0.43,24.391579,54.8636,93.0,Satisfactory
2025-03-24,36.23,13.4,7.0784087,5.980703,1.2722746,25.13069,18.3,87.0,Satisfactory,24.119444,26.84478,2.3,16.395327,0.55,20.207323,31.571718,151.9745,Moderate,40.329857,47.123222,9.026595,9.969237,0.46,25.989824,48.0,107.0,Moderate,38.094753,16.524033,6.5053573,7.4147353,0.5,24.60238,44.01215,100.0,Satisfactory
2025-03-25,35.27074,12.4,8.006246,6.9,1.2779171,26.0,18.3,96.0,Satisfactory,30.98732,22.983997,3.4,12.019754,0.58,20.227987,35.01433,126.61157,Moderate,45.271122,46.57941,9.733286,8.459864,0.48914716,25.56,49.03339,101.0,Moderate,33.988857,21.527143,8.183565,8.3,0.52,24.3,42.777954,75.0,Satisfactory
2025-03-26,47.16728,12.4,5.3,7.0000134,1.05,25.6,18.3,84.0,Satisfactory,40.36978,25.510864,3.3122756,17.123972,0.62,21.2,37.336613,118.0,Moderate,48.30105,53.849304,9.732782,9.457958,0.48,26.504513,47.706398,102.0,Moderate,47.16896,39.89563,10.275717,9.005762,0.74,25.173386,42.275955,105.0,Moderate
2025-03-27,46.074646,12.4,3.9807446,7.90135,0.85,24.92,18.3,56.0,Satisfactory,39.67043,31.88775,2.9,11.9784155,0.65,20.724085,34.601147,106.0,Moderate,41.07033,54.187447,14.339353,10.0,0.42,26.97127,45.412434,98.0,Satisfactory,31.705616,13.61377,11.897582,9.0608835,0.77,24.6,41.341896,73.0,Satisfactory
2025-03-28,33.815918,12.377241,4.314546,6.1,0.86,24.83,18.3,65.0,Satisfactory,19.338732,29.89831,2.5,16.715961,0.74,23.313396,33.961765,120.0,Moderate,28.172058,38.973866,20.907236,10.72,0.36759812,26.608932,49.95714,99.0,Satisfactory,28.283321,11.2,8.275473,11.251359,0.58,27.169485,40.813198,63.0,Satisfactory
2025-03-29,50.119408,12.4,6.042397,8.262862,0.84,24.9,18.3,96.155846,Satisfactory,17.484667,33.09586,2.9,15.074424,0.96,23.023039,35.090942,111.0,Moderate,28.526182,38.30047,21.967718,11.210454,0.46,26.86851,51.897034,94.0,Satisfactory,36.809223,17.742865,15.79493,8.165569,0.53,25.881195,43.42038,82.0,Satisfactory
2025-03-30,41.60746,12.4,7.921883,7.6,0.78,24.27,18.3,88.0,Satisfactory,16.612053,27.937508,2.88525,12.792412,0.55,23.316833,41.19043,110.824066,Moderate,30.403685,33.61271,22.588936,9.082809,0.4,26.650402,51.999893,101.15309,Moderate,41.39805,13.529127,10.625546,10.302722,0.48,25.414274,41.378063,90.4093,Satisfactory
2025-03-31,34.197826,14.055594,9.204588,8.180221,0.84,23.6,21.605228,101.0,Moderate,17.380945,26.363304,3.0028641,17.631285,0.63,21.653484,38.510338,112.0,Moderate,22.502878,44.534042,23.488596,10.828219,0.41,27.045815,51.195152,81.0,Satisfactory,31.591726,11.2,9.596282,11.4,0.42,24.781836,43.7,94.0,Satisfactory
2025-04-01,29.950012,13.428701,7.617834,5.5,0.96,23.698254,22.035257,100.0,Satisfactory,21.197105,27.854963,6.3509026,17.527756,0.82,23.737116,36.390842,130.0,Moderate,22.758574,41.814106,20.978437,10.864939,0.37,27.25,48.250835,99.00103,Satisfactory,32.557617,9.503603,13.696653,10.4,0.53,24.422009,49.322372,98.0,Satisfactory
2025-04-02,42.66354,15.6,8.086612,7.8205953,1.0731264,24.33,18.3,89.0,Satisfactory,29.831562,29.67547,9.083352,16.763405,1.09,24.821558,36.0003,119.0,Moderate,33.50901,55.017384,25.24005,10.51,0.49,27.224598,46.487537,100.0,Satisfactory,39.135708,15.687193,11.695982,9.0,0.46,24.5,43.701363,83.0,Satisfactory
2025-04-03,36.790127,12.4,5.4,6.8,0.99,24.754196,18.3,101.0,Moderate,17.68063,35.866417,7.2684684,16.397228,0.68,23.2,38.476482,117.0,Moderate,18.298347,50.595417,20.113602,8.426756,0.45,27.125408,44.480736,85.0,Satisfactory,51.076183,14.2000475,8.676059,6.68,0.51431394,26.109236,36.626457,71.632576,Satisfactory
2025-04-04,35.786945,15.6,4.310197,5.4,0.9,24.3,18.3,103.0,Moderate,19.886084,28.697714,6.191127,18.876389,0.64,21.8,35.90742,119.0,Moderate,17.702467,51.363113,22.41992,10.416342,0.41,25.86597,51.75736,94.0,Satisfactory,38.98854,10.298953,8.731936,8.828234,0.57,25.87107,42.74898,82.0,Satisfactory
2025-04-05,36.068634,15.559223,8.000277,4.8497286,0.86,24.330658,25.952868,100.0,Satisfactory,19.83434,44.00094,7.926721,16.96738,0.93,23.321321,31.404543,118.0,Moderate,26.122946,36.132725,15.333938,11.0,0.49225298,26.58,54.499256,75.0,Satisfactory,53.45029,9.817913,10.775063,8.341921,0.74,28.69462,43.62726,107.0,Moderate
2025-04-06,43.158535,12.4,5.3789425,5.4174,1.13,24.8,27.569658,110.0,Moderate,43.15136,28.907494,7.5069017,17.504757,0.75,23.403704,34.352924,130.0,Moderate,44.699413,34.097195,12.726663,11.0,0.41,26.82,57.229424,107.50802,Moderate,52.957283,12.061492,11.936432,6.781186,0.51,28.947214,45.014755,121.0,Moderate
2025-04-07,29.809715,13.908291,3.2,5.0,1.18,24.7,26.0,105.0,Moderate,32.139137,25.585178,8.722108,15.305653,0.74,23.476162,38.50287,124.0,Moderate,51.30054,45.44571,13.0,10.537206,0.39,26.586973,59.0,122.52389,Moderate,64.42962,9.3,12.542782,6.24903,0.48,26.22,43.309425,100.0,Satisfactory
2025-04-08,32.68402,12.4,4.109704,4.25,1.2022343,24.7,26.565847,99.98026,Satisfactory,35.137882,31.459352,9.610939,20.10663,0.67,21.821981,35.897865,119.0,Moderate,44.071896,49.960148,13.324497,7.620036,0.4,27.18,57.134506,94.0,Satisfactory,48.885292,6.980412,9.391268,6.522092,0.39,26.7,43.67812,87.0,Satisfactory
2025-04-09,36.036667,12.4,4.1993613,4.276063,1.2694346,24.62,32.668915,87.0,Satisfactory,29.666222,40.060944,8.227575,20.356758,1.2495966,22.431576,35.2563,85.15578,Satisfactory,28.052883,48.840088,13.998341,10.9,0.45,27.18,54.47203,71.03664,Satisfactory,48.02226,11.1,9.3807535,5.9335566,0.53,28.191278,43.151943,87.0,Satisfactory
2025-04-10,37.9695,12.4,5.3,4.5,1.0923415,25.3,39.75635,106.0,Moderate,37.127567,34.329334,11.537338,17.271093,0.8,22.253012,40.802746,105.0,Moderate,33.700333,54.978127,22.919601,10.2,0.37,26.966085,52.173466,74.042915,Satisfactory,34.865776,9.0,9.30147,5.413802,0.45,27.652742,44.007175,98.75751,Satisfactory
2025-04-11,38.201054,12.4,9.643257,4.25,0.98,24.33,46.254078,112.0,Moderate,33.973133,24.40094,5.489193,13.143944,0.9,23.3,36.019142,113.0,Moderate,39.67142,53.26648,19.427467,10.67699,0.36,26.556725,57.63311,108.91029,Moderate,30.290289,8.254965,11.490555,5.353346,0.34,27.37306,43.399006,106.0,Moderate
2025-04-12,37.946297,15.445403,10.6,5.793887,1.0203239,24.079927,38.508835,106.0,Moderate,29.886,32.205956,5.321602,14.196528,0.75,22.32554,39.646065,115.0,Moderate,42.46824,45.49325,21.408234,10.69,0.36,25.896776,57.392475,124.27468,Moderate,33.401688,10.196619,12.586453,5.352058,0.51,28.223328,43.26845,113.26252,Moderate
2025-04-13,32.46258,13.746166,7.9373293,5.4053664,0.9341021,24.763906,29.602583,90.0,Satisfactory,32.727448,26.24409,2.965177,11.449388,0.88,22.413364,42.02963,103.0,Moderate,33.00701,54.936424,21.957447,10.756742,0.38,26.27934,58.208385,97.0,Satisfactory,37.671135,16.552774,16.258207,4.43,0.7296319,28.020735,42.22476,92.004776,Satisfactory
2025-04-14,33.29425,17.065157,10.35137,4.4,1.06,24.6,38.593994,98.0,Satisfactory,39.983524,30.899773,4.093483,10.69144,0.88,19.784977,53.033787,104.0,Moderate,42.7674,53.320713,15.234007,9.842179,0.4,25.431168,60.0,123.0,Moderate,44.14065,14.425666,10.132061,5.645051,0.7,28.238354,45.19197,93.0,Satisfactory
2025-04-15,36.490395,12.3,12.546715,3.847785,1.05,23.965105,42.26476,101.0,Moderate,30.224068,25.286442,3.7920673,13.788133,0.8461223,20.7,43.30637,73.187416,Satisfactory,39.320934,42.93289,21.359436,10.891205,0.47108048,25.436338,68.00639,106.61832,Moderate,38.838272,10.200836,11.584846,5.2910957,0.79,26.5,42.88076,51.0,Satisfactory
2025-04-16,34.93834,13.832591,12.441383,4.162832,0.93,24.58886,39.947285,83.0,Satisfactory,23.383116,19.809256,6.27418,16.713459,1.04,20.090185,39.963665,82.97676,Satisfactory,32.25227,39.270584,12.387254,10.425543,0.53,26.59,69.0,103.56584,Moderate,31.702328,6.12367,14.476841,7.6939797,0.75,26.52,42.32755,38.0,Good
2025-04-17,36.708057,12.4,8.843757,4.312567,1.0,25.58,43.207466,86.0,Satisfactory,16.682373,29.917768,4.4938045,12.472762,0.8506658,20.031965,38.51985,108.38962,Moderate,36.197086,54.953102,12.7,10.7,0.4,27.23,63.96314,82.0,Satisfactory,46.50578,8.487393,10.8,4.177942,0.57,26.707796,41.188934,66.0,Satisfactory
2025-04-18,55.412315,14.920262,10.986493,4.125731,1.0920769,24.978748,35.184406,90.0,Satisfactory,20.013426,29.677914,1.9,17.198463,0.72,20.7,40.868168,112.58578,Moderate,35.25435,71.0008,12.714322,9.9,0.41,27.12305,57.83701,73.0,Satisfactory,38.99908,7.9024043,12.119573,4.0838423,0.59885764,27.936775,43.281868,89.0,Satisfactory
